Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,2,190,1,Some Random Commen with Id 0
1,1,2,24,9,Some Random Commen with Id 1
2,1,2,16,3,Some Random Commen with Id 2
3,1,2,41,3,Some Random Commen with Id 3
4,1,2,86,4,Some Random Commen with Id 4
5,1,2,40,5,Some Random Commen with Id 5
6,2,8,116,5,Some Random Commen with Id 6
7,2,8,142,3,Some Random Commen with Id 7
8,3,7,158,5,Some Random Commen with Id 8
9,3,7,159,4,Some Random Commen with Id 9
10,3,7,196,6,Some Random Commen with Id 10
11,3,7,16,0,Some Random Commen with Id 11
12,3,7,182,2,Some Random Commen with Id 12
13,5,8,144,4,Some Random Commen with Id 13
14,5,8,50,2,Some Random Commen with Id 14
15,5,8,75,5,Some Random Commen with Id 15
16,5,8,127,1,Some Random Commen with Id 16
17,6,8,105,8,Some Random Commen with Id 17
18,6,8,91,2,Some Random Commen with Id 18
19,6,8,123,8,Some Random Commen with Id 19
20,6,8,92,3,Some Random Commen with Id 20
21,7,7,113,1,Some Random Commen with Id 21
22,7,7,6,6,Some Random Commen with Id 22
23,7,7,29,7,Some Random Commen with Id 23
24,8,3,14,8,Some Random Commen with Id 24
25,8,3,174,1,Some Random Commen with Id 25
26,8,3,71,2,Some Random Commen with Id 26
27,8,3,99,9,Some Random Commen with Id 27
28,8,3,3,6,Some Random Commen with Id 28
29,10,4,196,4,Some Random Commen with Id 29
30,10,4,102,0,Some Random Commen with Id 30
31,10,4,94,2,Some Random Commen with Id 31
32,10,4,107,7,Some Random Commen with Id 32
33,10,4,100,7,Some Random Commen with Id 33
34,11,8,170,6,Some Random Commen with Id 34
35,11,8,50,3,Some Random Commen with Id 35
36,11,8,192,4,Some Random Commen with Id 36
37,11,8,190,9,Some Random Commen with Id 37
38,11,8,43,1,Some Random Commen with Id 38
39,11,8,194,0,Some Random Commen with Id 39
40,11,8,126,6,Some Random Commen with Id 40
41,11,8,78,5,Some Random Commen with Id 41
42,12,5,36,7,Some Random Commen with Id 42
43,12,5,181,0,Some Random Commen with Id 43
44,12,5,49,9,Some Random Commen with Id 44
45,12,5,91,7,Some Random Commen with Id 45
46,12,5,168,0,Some Random Commen with Id 46
47,12,5,96,5,Some Random Commen with Id 47
48,12,5,172,6,Some Random Commen with Id 48
49,12,5,126,1,Some Random Commen with Id 49
50,12,5,137,8,Some Random Commen with Id 50
51,14,2,188,5,Some Random Commen with Id 51
52,15,3,31,3,Some Random Commen with Id 52
53,15,3,135,2,Some Random Commen with Id 53
54,15,3,35,5,Some Random Commen with Id 54
55,15,3,196,0,Some Random Commen with Id 55
56,15,3,34,0,Some Random Commen with Id 56
57,16,4,70,2,Some Random Commen with Id 57
58,16,4,94,1,Some Random Commen with Id 58
59,16,4,76,7,Some Random Commen with Id 59
60,16,4,67,5,Some Random Commen with Id 60
61,16,4,171,8,Some Random Commen with Id 61
62,17,9,191,7,Some Random Commen with Id 62
63,17,9,183,7,Some Random Commen with Id 63
64,17,9,21,8,Some Random Commen with Id 64
65,17,9,21,4,Some Random Commen with Id 65
66,17,9,43,8,Some Random Commen with Id 66
67,17,9,11,1,Some Random Commen with Id 67
68,17,9,126,2,Some Random Commen with Id 68
69,17,9,133,3,Some Random Commen with Id 69
70,18,4,156,1,Some Random Commen with Id 70
71,18,4,50,5,Some Random Commen with Id 71
72,18,4,11,4,Some Random Commen with Id 72
73,18,4,131,5,Some Random Commen with Id 73
74,18,4,40,2,Some Random Commen with Id 74
75,18,4,8,4,Some Random Commen with Id 75
76,18,4,192,4,Some Random Commen with Id 76
77,18,4,166,4,Some Random Commen with Id 77
78,20,2,100,2,Some Random Commen with Id 78
79,20,2,100,9,Some Random Commen with Id 79
80,20,2,53,3,Some Random Commen with Id 80
